name,x,y,z,vx,vy,vz,ax,ay,az,mass
sun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
body1,4750614824674.196,752752559599.7716,0.0,-822.0837951540805,5188.163646311412,0.0,0.0,0.0,0.0,3.475263865322073e+23
body2,-146686097319.4598,-1721481958573.8694,0.0,8732.890898399077,-744.1226309824402,0.0,0.0,0.0,0.0,7.090295386806202e+23
body3,5709247283187.982,3471001037014.641,0.0,-2315.2761642653486,3808.262806521909,0.0,0.0,0.0,0.0,4.797296377167434e+23
body4,57844240782.768814,289736653179.49023,0.0,-20784.20767215539,4149.446402014045,0.0,0.0,0.0,0.0,5.548197592930261e+23
body5,85719771316.68355,257406428640.3169,0.0,-20984.58392363835,6988.14611822905,0.0,0.0,0.0,0.0,6.848959940015708e+23
body6,758994288506.4933,4039514459815.0874,0.0,-5584.705687138598,1049.3240615165319,0.0,0.0,0.0,0.0,6.303391154883178e+23
body7,6063735789390.153,247737687637.20862,0.0,-190.89919642562964,4672.532066364749,0.0,0.0,0.0,0.0,8.252373266495271e+23
body8,-2817197058672.0293,4423785554254.469,0.0,-4243.1021522716055,-2702.132541557848,0.0,0.0,0.0,0.0,2.3993154983060336e+23
body9,-3707930471855.487,6128787018239.992,0.0,-3682.847490000387,-2228.131339974424,0.0,0.0,0.0,0.0,1.8347125904213312e+23
body10,454808611797.7985,-647175891522.4373,0.0,10597.901456838486,7447.769474564042,0.0,0.0,0.0,0.0,6.433534282302019e+23
body11,-768602038258.133,-6002739712519.11,0.0,4645.089676752416,-594.7659842717782,0.0,0.0,0.0,0.0,5.8260528230923064e+23
body12,-5261437812113.616,5032794691302.305,0.0,-2951.180455694294,-3085.2544942465574,0.0,0.0,0.0,0.0,5.968365681459042e+23
body13,-4571168302828.184,-4213296985698.8076,0.0,3131.461593034038,-3397.4433855929296,0.0,0.0,0.0,0.0,8.755362102796995e+23
body14,-1224903350581.2253,-4174197209970.412,0.0,5299.971972836215,-1555.2579576276617,0.0,0.0,0.0,0.0,1.4124194529009598e+23
body15,-431731294926.1823,1708735128487.2898,0.0,-8413.403891709815,-2125.74184046915,0.0,0.0,0.0,0.0,1.7181277923126473e+23
body16,1448467978154.5154,1066362678308.2874,0.0,-5092.673912412143,6917.510557490911,0.0,0.0,0.0,0.0,3.5017624279908284e+23
body17,-3158721818886.617,3590491700570.042,0.0,-3955.323502316844,-3479.6812496571656,0.0,0.0,0.0,0.0,4.331628704051944e+23
body18,-173150155692.47043,1616997317156.563,0.0,-8982.503885288888,-961.8580870504933,0.0,0.0,0.0,0.0,9.429891289412446e+23
body19,-3772103689145.5625,-3086019940041.121,0.0,3304.344631265342,-4038.9663112929347,0.0,0.0,0.0,0.0,2.5402478337828728e+23
body20,2833712087300.761,4683606781251.819,0.0,-4212.825333909237,2548.876246010289,0.0,0.0,0.0,0.0,4.41509897581883e+23
body21,-4718487623001.187,-5703654221516.452,0.0,3262.559290246005,-2699.0320647874687,0.0,0.0,0.0,0.0,6.012547693971816e+23
body22,2833951632679.986,-4293559651783.7827,0.0,4239.041935350334,2797.967371594346,0.0,0.0,0.0,0.0,7.983999203916203e+23
body23,1735048045125.6582,354768639514.7466,0.0,-1734.2137127899714,8481.426420108583,0.0,0.0,0.0,0.0,3.8390774325317375e+23
body24,499356948983.57117,1995957144264.4763,0.0,-7791.392901377088,1949.2834296287763,0.0,0.0,0.0,0.0,9.48618742901549e+23
body25,-2594869724396.949,6029843827643.2295,0.0,-4130.203712366558,-1777.3827772585528,0.0,0.0,0.0,0.0,6.89894798765392e+23
body26,2581770157946.033,-1536776992683.7085,0.0,3399.468060941054,5711.072741466167,0.0,0.0,0.0,0.0,5.129666673286589e+23
body27,43145756977.30822,2035833462677.7383,0.0,-8071.388848548084,171.05828551946578,0.0,0.0,0.0,0.0,6.052313207468357e+23
body28,-1741759345432.913,-1023967476520.335,0.0,4107.507072798835,-6986.832096260513,0.0,0.0,0.0,0.0,9.080405952422293e+23
body29,580930099159.6489,2976275581621.0215,0.0,-6493.073850402941,1267.363163229354,0.0,0.0,0.0,0.0,9.977838458455991e+23
body30,3237092377276.9614,2080362183405.359,0.0,-3175.1297481864094,4940.576399007171,0.0,0.0,0.0,0.0,1.4240473788226111e+23
body31,-617333057488.0729,-636606285089.1077,0.0,8782.48356228931,-8516.59425430886,0.0,0.0,0.0,0.0,8.128714279266677e+23
body32,2949347464090.904,1244032156257.4495,0.0,-2502.493921038797,5932.904597999198,0.0,0.0,0.0,0.0,4.434573578558831e+23
body33,-7326951709662.925,-1355478936568.3704,0.0,767.7366593268024,-4149.949716567716,0.0,0.0,0.0,0.0,9.739705398522563e+23
body34,6432273344844.071,464813947015.24005,0.0,-326.965261452267,4524.670461018747,0.0,0.0,0.0,0.0,7.486496374241752e+23
body35,-4985405194407.413,-1179356050738.7825,0.0,1171.720042372118,-4953.126057202106,0.0,0.0,0.0,0.0,3.401426709572885e+23
body36,3684689539133.327,3109263186030.9023,0.0,-3383.6359027063536,4009.8399746126024,0.0,0.0,0.0,0.0,4.912887256021945e+23
body37,3291114536421.483,-982766909062.8712,0.0,1778.607683181232,5956.246131944408,0.0,0.0,0.0,0.0,8.882676463403746e+23
body38,-2025234865465.3447,-7458278879.867023,0.0,29.811701733240064,-8095.124722674339,0.0,0.0,0.0,0.0,2.6078669247711822e+23
body39,4693709382823.058,-4965769575074.921,0.0,3202.8447311978134,3027.370106338806,0.0,0.0,0.0,0.0,3.686003123037696e+23
body40,-3723100842181.244,-3039656049665.425,0.0,3323.281857532819,-4070.4978722668225,0.0,0.0,0.0,0.0,2.375553416946713e+23
body41,-5547107662453.542,-1401208379845.216,0.0,1179.5631130652114,-4669.65775893688,0.0,0.0,0.0,0.0,8.007638307675024e+23
body42,4002149175294.0156,14381101984.36079,0.0,-20.69253561100805,5758.572216537887,0.0,0.0,0.0,0.0,3.9174045130420574e+23
body43,197652172261.95288,-94379008792.18993,0.0,10606.891518859205,22213.362658486563,0.0,0.0,0.0,0.0,8.908496900408658e+23
body44,-2203885126912.2607,5830847621843.676,0.0,-4316.230957484763,-1631.4055568667309,0.0,0.0,0.0,0.0,1.5213264984476877e+23
body45,6214653295560.257,-2151797966737.4453,0.0,1469.8106043474727,4244.991145710092,0.0,0.0,0.0,0.0,1.770881068610909e+23
body46,3331722463312.2725,1547700903772.7874,0.0,-2532.2399898745707,5451.131311092982,0.0,0.0,0.0,0.0,7.845419487315084e+23
body47,3975509968465.7627,4148655645921.7456,0.0,-3470.000019008007,3325.178285091856,0.0,0.0,0.0,0.0,5.277541402888581e+23
body48,-391661102839.99097,4127665467764.038,0.0,-5632.405389332634,-534.4411080927345,0.0,0.0,0.0,0.0,8.851897369767317e+23
body49,762692804561.4679,3116244879739.8,0.0,-6247.421478727342,1529.0401084544953,0.0,0.0,0.0,0.0,5.853664799015125e+23
body50,1655701558535.42,5223982198988.208,0.0,-4691.225831784484,1486.8484664116147,0.0,0.0,0.0,0.0,3.805446621708054e+23
body51,-4380133436988.7676,-6019033008546.182,0.0,3414.0968389413615,-2484.485414871766,0.0,0.0,0.0,0.0,4.942900755230536e+23
body52,2831549244993.958,2692823116340.925,0.0,-4016.2083438282357,4223.111289670581,0.0,0.0,0.0,0.0,3.0222760332840162e+23
